transect,quadrat,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10 
1,1,5,100,20,20,0,0,100,5,0,90
1,2,65,5,0,50,10,5,0,5,0,0
1,3,75,5,100,30,5,5,0,0,0,0
1,4,65,50,100,5,20,20,0,25,5,20
2,1,10,50,20,100,0,10,15,5,0,15
2,2,80,15,90,10,40,0,0,0,0,0
2,3,90,100,100,5,5,0,5,0,0,0
2,4,30,100,60,30,10,85,30,0,0,0
3,1,0,100,100,70,5,5,0,0,30,50
3,2,20,5,5,20,0,5,0,0,0,5
3,3,50,80,100,100,20,5,0,0,0,15
3,4,50,5,100,5,5,100,0,0,60,5
4,1,30,5,100,100,5,10,0,0,10,10
4,2,35,5,5,20,0,0,0,0,10,0
4,3,100,5,0,35,15,0,0,0,0,0
4,4,30,0,40,70,15,0,5,100,5,20
5,1,90,90,20,40,60,15,50,0,50,5
5,2,20,5,10,5,20,5,25,0,5,0
5,3,10,5,15,5,15,5,15,0,0,5
5,4,5,0,20,5,5,5,0,15,0,10
